ligand_entry,SMILES_FL,ligand_type,exp_yield,exp_ee,exp_deldelG,nbo_O1_CMC,nbo_C2_CMC,nbo_X3_CMC,nbo_C4_CMC,nbo_N5_CMC,nbo_C6_CMC,nbo_C7_CMC,nbo_O8_CMC,nbo_Co_CMC,da_C2_X3_C4_N5_CMC,bl_OCo_CMC,bl_NCo_CMC,ba_OCoN_CMC,vbur_Co_CMC,vbur_oct2_CMC,vbur_oct3_CMC,vbur_oct4_CMC,vbur_oct5_CMC,vbur_oct6_CMC,vbur_oct7_CMC,IE_CMC,nbo_O1_FL,nbo_C2_FL,nbo_X3_FL,nbo_C4_FL,nbo_N5_FL,nbo_C6_FL,nbo_C7_FL,nbo_O8_FL,da_C2_X3_C4_N5_FL,s_C2_Bmin_FL,s_C2_Bmax_FL,s_C2_L_FL,s_C6_Bmin_FL,s_C6_Bmax_FL,s_C6_L_FL
EL1,O/C(C1=CC=CC=C1)=C\C2=N[C@@H](C3=CC=CC=C3)CO2,enol,57,45,-0.574296204,-0.59158,0.45563,-0.46563,0.57668,-0.40422,-0.09465,-0.08361,-0.44891,0.60112,-4.18,1.87058,1.84797,95.313,72.1,2,2.4,6.6,8,4.1,8,-0.000693645,-0.6727,0.425,-0.43414,0.55149,-0.58057,-0.10286,-0.08133,-0.46983,1.361,2.01,5.51,6.4,2.19,9.17,6.45
EL2,OC(/C=C/C1=CC=CC=C1)=C\C2=N[C@@H](C3=CC=CC=C3)CO2,enol,66,52,-0.682875064,-0.58079,0.42492,-0.46589,0.57302,-0.40689,-0.09451,-0.08318,-0.45053,0.60041,-3.858,1.86616,1.84749,95.582,71.66,2.1,3.4,8,6.5,2.7,8,-0.000717757,-0.67692,0.39502,-0.42067,0.54608,-0.57738,-0.1038,-0.08142,-0.46985,0.911,2.11,5.36,8.55,2.24,11.37,6.45
EL3,O/C(C(C)(C)C)=C\C1=N[C@@H](C2=CC=CC=C2)CO1,enol,59,-16,0.19121872,-0.60754,0.50771,-0.49581,0.58397,-0.40414,-0.09426,-0.0839,-0.44885,0.60439,-2.545,1.87053,1.84775,95.162,72.3,2.7,3.6,7,7.7,3.6,6.8,-0.00123002,-0.68769,0.46634,-0.46518,0.55364,-0.58137,-0.10333,-0.08327,-0.47101,-1.307,2.85,6.03,4.25,2.26,8.41,6.45
EL4,O/C(CC)=C\C1=N[C@@H](C2=CC=CC=C2)CO1,enol,79,50,-0.650844341,-0.5891,0.48756,-0.49711,0.58141,-0.40543,-0.09461,-0.08387,-0.44885,0.60239,-3.387,1.87233,1.84894,95.315,71.62,2.4,3.7,7.3,7.5,3.2,6.6,-0.000992732,-0.67927,0.44985,-0.45765,0.55165,-0.58155,-0.10356,-0.08367,-0.46996,-1.312,2.73,5.91,4.2,2.21,7.62,6.45
EL5,O/C(C)=C\C1=N[C@@H](C2=CC=CC=C2)CO1,enol,72,69,-1.004698765,-0.59235,0.48012,-0.48775,0.57984,-0.4064,-0.09465,-0.084,-0.44836,0.60214,-3.26,1.87419,1.8492,95.357,71.61,2.5,3.7,7.6,7.3,2.9,6.7,-0.001064706,-0.6732,0.44264,-0.45628,0.55341,-0.58265,-0.10329,-0.08171,-0.47046,0.942,2.09,5.47,3.15,2.19,6.8,6.45
EL6,O/C(C)=C\C1=N[C@@H](CC)CO1,enol,53,90,-1.744356465,-0.59763,0.47906,-0.46754,0.57914,-0.47732,-0.07963,-0.08869,-0.45361,0.49756,-3.666,1.89228,1.88421,92.189,73.78,1.4,2.1,3.8,10.7,7.2,6.9,0.003219379,-0.67552,0.43938,-0.45453,0.54882,-0.57883,-0.08289,-0.09236,-0.47206,0.587,2.07,3.7,3.15,2.03,6.92,4.25
EL7,O/C(C)=C\C1=N[C@@H](C(C)C)CO1,enol,45,95,-2.170382028,-0.59711,0.4801,-0.4679,0.58661,-0.4888,-0.07455,-0.09412,-0.45608,0.49854,-2.899,1.89263,1.88901,92.013,74.08,0.7,1.2,4.2,10.4,8.6,7.6,0.002941652,-0.67585,0.43978,-0.45414,0.55175,-0.58753,-0.07725,-0.08999,-0.47186,1.073,2.08,4.01,3.15,2.81,6.87,4.25
EL8,O/C(C)=C\C1=N[C@@H](C2=CC=CC=C2)C(C)(C)O1,enol,80,20,-0.240207282,-0.59288,0.47908,-0.48606,0.58691,-0.41328,-0.09674,0.26346,-0.47296,0.60514,-2.275,1.87318,1.84651,95.355,72.02,1.6,2.2,6.9,7.6,4.4,8.4,-0.003517781,-0.67489,0.44217,-0.45458,0.56028,-0.59279,-0.09826,0.25604,-0.49116,1.473,2.1,5.35,3.15,2.12,6.7,6.45
EL9,O/C(C)=C\C1=N[C@@H](CC2=CC=CC=C2)CO1,enol,22,76,-1.180363548,-0.58991,0.47653,-0.48177,0.58024,-0.40935,-0.0645,-0.09051,-0.45047,0.59566,-1.189,1.87219,1.85289,95.003,70.38,1.7,2.5,6.2,8,4.3,6.8,-0.000303071,-0.68021,0.43882,-0.4513,0.56047,-0.59667,-0.07425,-0.09427,-0.46993,-2.647,1.98,7.12,3.15,1.97,7.2,4.85
EL10,O/C(C)=C\C1=N[C@@H](C)CO1,enol,52,86,-1.532416977,-0.58884,0.47441,-0.48358,0.58005,-0.4073,-0.07545,-0.08799,-0.44665,0.59429,1.092,1.87099,1.86162,95.939,70.44,1.7,2.5,6.8,7.2,3.8,7.4,0.002412587,-0.67539,0.43956,-0.45513,0.54648,-0.58262,-0.08904,-0.0894,-0.47272,-0.946,2,3.7,3.15,1.97,7.18,3.2
EL11,O/C(C(F)(F)F)=C\C1=N[C@@H](C2=CC=CC=C2)CO1,enol,16,74,-1.126173688,-0.56875,0.36613,-0.45396,0.57815,-0.39485,-0.09534,-0.08538,-0.4408,0.6002,-3.697,1.8826,1.85587,95.512,71.98,1.9,2.6,6.8,8,4,7.7,-0.000648581,-0.64567,0.31234,-0.40501,0.54385,-0.55914,-0.10482,-0.08587,-0.46226,-0.788,2.4,5.89,3.45,2.34,7.65,6.45
